Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
   46     2.4    19.2    11.0    0.00    0.00    0.00    0.00    2.23    0.51    0.30    0.20  266.09   1.835   1.000   1.000
   47     2.4    27.0    17.6    0.00    0.00    0.00    0.00    1.96    0.59    0.35    0.24  263.54   1.818   1.000   1.000
   48     2.4    26.7    15.3    2.20    0.00    0.00    2.20    1.70    0.57    0.33    0.24  263.46   1.817   1.000   1.000
   49     2.4    29.4    12.5    0.20    0.00    0.00    0.20    1.70    0.58    0.33    0.25  261.39   1.803   1.000   1.000
   50     2.4    26.3    18.0    1.20    0.00    0.00    1.20    1.49    0.58    0.32    0.26  260.52   1.797   1.000   1.000
   51     2.4    29.4    17.3    0.00    0.00    0.00    0.00    1.40    0.60    0.32    0.28  258.51   1.783   1.000   1.000
   52     2.4    27.5    18.4    0.00    0.00    0.00    0.00    1.20    0.59    0.31    0.28  256.72   1.770   1.000   1.000
   53     2.4    27.5    16.5    0.00    0.00    0.00    0.00    1.02    0.58    0.30    0.28  255.12   1.759   1.000   1.000
   54     2.4    22.0    16.5    0.00    0.00    0.00    0.00    0.86    0.54    0.27    0.27  253.71   1.750   1.000   1.000
   55     2.4    20.4    15.3    1.20    0.00    0.00    1.20    0.72    0.53    0.26    0.27  253.66   1.749   1.000   1.000
   56     2.4    25.1    14.9    2.20    0.00    0.00    2.20    0.72    0.56    0.26    0.29  254.59   1.756   1.000   1.000
   57     2.4    17.6     7.1    0.20    0.00    0.00    0.20    0.81    0.47    0.22    0.25  253.51   1.748   1.000   1.000
   58     2.4    23.1     3.5    0.00    0.00    0.00    0.00    0.70    0.49    0.22    0.27  252.32   1.740   1.000   1.000
